time,open_BTC,high_BTC,low_BTC,close_BTC,volumefrom_BTC,volumeto_BTC,open_ETH,high_ETH,low_ETH,close_ETH,volumefrom_ETH,volumeto_ETH,open_ADA,high_ADA,low_ADA,close_ADA,volumefrom_ADA,volumeto_ADA,open_BNB,high_BNB,low_BNB,close_BNB,volumefrom_BNB,volumeto_BNB,open_XRP,high_XRP,low_XRP,close_XRP,volumefrom_XRP,volumeto_XRP,open_SOL,high_SOL,low_SOL,close_SOL,volumefrom_SOL,volumeto_SOL,open_DOT,high_DOT,low_DOT,close_DOT,volumefrom_DOT,volumeto_DOT,open_DOGE,high_DOGE,low_DOGE,close_DOGE,volumefrom_DOGE,volumeto_DOGE,open_MATIC,high_MATIC,low_MATIC,close_MATIC,volumefrom_MATIC,volumeto_MATIC,open_LTC,high_LTC,low_LTC,close_LTC,volumefrom_LTC,volumeto_LTC,date,return_BTC,return_ETH,return_ADA,return_BNB,return_XRP,return_SOL,return_DOT,return_DOGE,return_MATIC,return_LTC,n_articles,mean_sentiment,mean_title_sentiment,mean_body_sentiment,ret5_BTC,vol10_BTC
2025-05-26,109041.44,110459.23,108718.82,109461.24,14310.31,1568531304.43,2552.23,2600.15,2527.36,2564.47,230814.8,590861351.31,0.7602,0.7773,0.7515,0.7603,32189673.92,24565504.29,669.73,676.69,669.46,674.39,4544.48,3064755.05,2.343,2.36,2.297,2.311,74094429.52,172721556.25,175.81,179.09,173.56,174.98,1140788.71,201379763.47,4.525,4.618,4.429,4.47,1107582.71,5018468.15,0.225,0.2305,0.2226,0.2261,204573872.81,46335751.34,0.2358,0.239,0.2286,0.2309,4159058.85,974562.87,95.67,97.62,94.38,95.06,188254.21,18077301.29,2025-05-26,0.00384991247364308,0.004795806020617244,0.0001315443304392705,0.006958027861974081,-0.013657703798548915,-0.004721005631079023,-0.012154696132596787,0.004888888888888943,-0.020780322307039967,-0.006376084456987563,672.0,0.3742520833333333,0.0945684523809523,0.6539357142857143,-0.002175207880848684,0.020207703969981276
2025-05-27,109461.24,110802.2,107543.83,108975.95,22990.09,2520257081.13,2564.47,2713.33,2511.1,2662.0,484940.99,1280752626.8,0.7603,0.7756,0.7438,0.7586,44700209.32,34178002.1,674.39,691.67,670.2,687.09,12767.47,8772443.92,2.311,2.355,2.269,2.318,88326619.0,204786932.6,174.98,179.48,171.36,176.8,1474271.72,260529810.97,4.47,4.615,4.375,4.537,1431138.9,6480048.37,0.2261,0.2322,0.2198,0.2261,269409558.58,61203961.47,0.2309,0.2355,0.2263,0.2299,4032931.06,930873.27,95.06,97.03,93.11,95.95,305241.91,29193828.1,2025-05-27,-0.004433441462932564,0.038031250121857596,-0.0022359594896750323,0.01883183321223636,0.0030289917784509512,0.010401188707281017,0.014988814317673516,0.0,-0.004330879168471191,0.009362507889753902,972.0,0.3931499485596708,0.0899368312757201,0.6963630658436214,-0.02458027332280066,0.020268116366918252
2025-05-28,108975.95,109328.61,106799.94,107821.11,18610.56,2010518282.08,2662.0,2689.79,2611.05,2682.1,364903.23,965255963.52,0.7586,0.7611,0.7324,0.7478,40443330.65,30286910.6,687.09,691.35,674.1,687.14,19243.49,13223047.42,2.318,2.324,2.227,2.275,105755046.23,240566858.51,176.8,177.48,169.03,172.28,1279498.95,220733710.07,4.537,4.662,4.42,4.587,978460.56,4430002.63,0.2261,0.2279,0.2169,0.2209,223833100.69,49710533.29,0.2299,0.2337,0.2229,0.2288,3201123.12,731057.85,95.95,97.49,93.55,95.37,190710.53,18183862.47,2025-05-28,-0.010597200574989252,0.007550713749060911,-0.014236751911415824,7.277067050881492e-05,-0.01855047454702341,-0.025565610859728527,0.011020498126515177,-0.022998673153471816,-0.004784688995215225,-0.006044815007816506,995.0,0.3633623618090452,0.0784153768844221,0.6483093467336684,0.004548465144567526,0.018474205067352388
2025-05-29,107821.11,108929.95,105327.79,105586.78,24372.04,2610280801.53,2682.1,2788.28,2620.36,2631.82,525703.44,1415485994.05,0.7478,0.7652,0.7202,0.7222,48849896.27,36250767.85,687.14,678.4,664.04,674.91,12956.59,8744541.2,2.275,2.314,2.239,2.245,106704234.98,243555044.95,172.28,175.41,166.05,166.71,1483785.63,253136898.85,4.587,4.681,4.331,4.333,1700092.19,7654578.77,0.2209,0.228,0.2141,0.2149,249571183.78,55357905.01,0.2288,0.2358,0.2241,0.2248,5437918.84,1254992.86,95.37,98.9,92.9,93.21,307859.0,29535342.82,2025-05-29,-0.020722565367765178,-0.01874650460460081,-0.03423375234019799,-0.01779841080420297,-0.01318681318681314,-0.0323310889250058,-0.05537388271201216,-0.02716161158895425,-0.0174825174825175,-0.022648631645171502,925.0,0.3992687027027027,0.1215878918918919,0.6769495135135135,-0.02034413607193808,0.01958925494827347
2025-05-30,105586.78,106348.19,103650.43,104039.27,23541.73,2473658024.71,2631.82,2649.44,2508.97,2531.79,418659.47,1083869480.12,0.7222,0.7279,0.6828,0.6893,76933772.02,54085295.33,674.91,665.96,654.09,655.24,13396.44,8777874.27,2.245,2.252,2.131,2.141,181327943.16,396325052.78,166.71,167.48,155.34,156.26,1800456.85,290792123.78,4.333,4.356,4.014,4.049,2321346.69,9686928.0,0.2149,0.2164,0.1907,0.1936,543456428.85,109412417.26,0.2248,0.2277,0.2052,0.2065,4288857.31,931353.39,93.21,93.89,84.96,85.69,343760.63,30719011.2,2025-05-30,-0.014656285569083494,-0.03800791847466778,-0.04555524785378007,-0.02914462669096618,-0.046325167037861936,-0.06268370223741837,-0.06554350334641124,-0.09911586784550963,-0.08140569395017794,-0.08067803883703462,915.0,0.321965956284153,0.07434,0.569591912568306,-0.04587402734226542,0.019617928477668745
2025-05-31,104039.27,104959.61,103127.75,104654.65,8552.6,890138427.14,2531.79,2551.37,2479.94,2529.32,198221.35,500287625.87,0.6893,0.6953,0.6569,0.6862,54746542.46,37004631.25,655.24,663.2,652.63,658.38,10705.59,7048372.07,2.141,2.208,2.081,2.175,116447699.79,249868908.86,156.26,158.08,152.22,156.53,1225741.54,190288070.24,4.049,4.122,3.9,4.078,1464383.23,5886027.52,0.1936,0.1956,0.1856,0.1926,398174654.93,76087224.82,0.2065,0.2177,0.2009,0.2144,4751720.94,994330.6,85.69,87.95,83.2,87.09,220264.56,18864692.96,2025-05-31,0.0059148819479413195,-0.0009755943423427338,-0.004497316117800687,0.004792137232159099,0.01588042970574488,0.0017278894150773993,0.0071622622869844665,-0.005165289256198302,0.038256658595641646,0.01633796242268648,492.0,0.3308639227642276,0.0715784552845528,0.5901493902439024,-0.04391134249895223,0.017177149473265544
2025-06-01,104654.65,105924.77,103823.88,105702.19,7524.76,788781340.28,2529.32,2549.01,2470.58,2540.45,203463.76,512156252.24,0.6862,0.6881,0.6552,0.6856,50962447.21,34293930.03,658.38,665.71,658.1,661.38,7311.78,4835854.84,2.175,2.189,2.125,2.181,72496130.5,156424865.09,156.53,157.98,150.68,157.77,1087354.98,167972634.42,4.078,4.103,3.973,4.067,910128.39,3681348.24,0.1926,0.1949,0.1866,0.1938,308767076.06,58934984.32,0.2144,0.217,0.2101,0.2152,3554447.59,761170.21,87.09,88.76,85.87,88.44,146527.13,12795696.88,2025-06-01,0.010009493128112501,0.004400392200275105,-0.0008743806470417059,0.004556639023056697,0.0027586206896552667,0.007921804127004384,-0.0026974006866110622,0.006230529595015577,0.003731343283582156,0.01550120564932822,326.0,0.326017791411043,0.1049125766871165,0.5471230061349693,-0.030041123752534316,0.016096492731038647
2025-06-02,105702.19,105988.22,103708.71,105908.79,15178.71,1589665625.81,2540.45,2616.44,2476.59,2609.07,349478.71,884892086.43,0.6856,0.6922,0.6642,0.69,38262783.32,25900764.83,661.38,670.93,658.33,666.38,10454.04,6966343.38,2.181,2.205,2.137,2.197,87312426.58,189257516.45,157.77,158.98,151.76,156.91,1406571.9,217518120.62,4.067,4.172,3.956,4.148,1436809.49,5800684.35,0.1938,0.1964,0.1886,0.1952,279676528.46,53620917.76,0.2152,0.2194,0.2114,0.2189,2887308.46,620359.62,88.44,89.99,87.04,89.58,178097.72,15767846.88,2025-06-02,0.001954547961589004,0.027010962624731905,0.0064177362893815815,0.007559950406725413,0.00733608436497013,-0.005450972935285625,0.01991640029505759,0.007223942208462342,0.01719330855018586,0.012890094979647326,838.0,0.3454987470167064,0.0832341288782816,0.6077633651551313,-0.017736044453632527,0.010893423139650513
2025-06-03,105908.79,106888.12,104926.88,105447.66,15596.95,1652394373.05,2609.07,2657.23,2583.3,2594.88,409845.38,1073527716.78,0.69,0.7075,0.6746,0.6842,40324902.56,27887815.81,666.38,669.28,657.89,661.79,10696.86,7079069.78,2.197,2.283,2.186,2.246,110546825.17,246964941.23,156.91,163.71,154.36,155.3,1263657.4,201821172.15,4.148,4.223,4.103,4.14,1062057.62,4426711.62,0.1952,0.2006,0.1915,0.1932,331322075.15,65021606.8,0.2189,0.2211,0.2128,0.2152,4386215.13,953901.46,89.58,90.63,88.81,89.55,157837.26,14157977.37,2025-06-03,-0.00435402953805808,-0.005438719543745529,-0.008405797101449175,-0.006887961823584199,0.022303140646335873,-0.010260658976483206,-0.0019286403085824189,-0.010245901639344246,-0.016902695294655157,-0.00033489618218351946,1025.0,0.3526261463414634,0.1056002926829268,0.599652,-0.0013175891906164194,0.010752687628745065
2025-06-04,105447.66,106044.55,104206.69,104746.0,12621.93,1327155925.5,2594.88,2680.55,2585.02,2608.28,326189.58,858114267.83,0.6842,0.7028,0.6624,0.6657,35467952.85,24325777.57,661.79,668.7,656.65,663.57,9790.05,6496343.44,2.246,2.267,2.197,2.202,88607252.84,198166141.77,155.3,158.01,153.05,153.31,955449.23,148877566.64,4.14,4.214,3.987,4.008,1465414.32,6014891.54,0.1932,0.1972,0.1872,0.1882,180066037.88,34687704.79,0.2152,0.2201,0.212,0.2132,3197230.99,694013.19,89.55,91.02,87.47,88.02,142657.38,12781518.98,2025-06-04,-0.006654106881082034,0.005164015291651225,-0.027038877521192717,0.0026896749724234503,-0.019590382902938575,-0.01281390856406961,-0.03188405797101446,-0.025879917184265078,-0.009293680297397744,-0.0170854271356784,1020.0,0.3598103431372549,0.1013533333333333,0.6182673529411765,0.006792915790354792,0.009636274210167202
