BTC,ETH,ADA,BNB,XRP,SOL,DOT,DOGE,MATIC,LTC,date
3.079045481423289e-22,1.3215285906199645e-22,1.6814081584625639e-22,1.6849958194163824e-22,1.0,2.2430809954203004e-22,5.029404506915836e-22,2.2393433077093023e-22,3.3667413109259043e-22,1.151172628020091e-22,2017-05-02
-3.0340049615124163e-22,-9.253737693294817e-23,-3.2667718760337566e-22,-1.946326374461514e-22,-1.626921070160792e-22,-1.62378202534805e-22,-2.187671338700252e-22,1.0,-2.73541540159317e-22,-2.99834831061125e-22,2017-05-09
1.0,1.0094462282880746e-25,2.7886216128416454e-23,1.9368911820727214e-25,-5.530812395981457e-23,2.777293639814965e-22,-2.7701255348598677e-23,1.6674143697868325e-22,2.2221160928876056e-22,6.16124340953558e-26,2017-05-16
2.7778327548302013e-22,1.9447826466704451e-22,3.3322393545892723e-22,1.1146380929524004e-22,3.609664277455966e-22,2.2233174894737323e-22,2.2213716570309295e-22,1.0,2.7786669652611554e-22,4.444942085185901e-22,2017-05-23
-9.330000619585156e-23,-1.0791419678267642e-22,0.16962853967379243,2.9444282651346893e-22,-2.514979611333293e-22,0.4667407080220054,-1.3774895622576671e-22,2.148763787216956e-23,-1.6939713756874756e-22,0.36363075230420216,2017-05-30
1.389217385100636e-22,2.3413126967148074e-25,1.0,-2.765327803320491e-23,1.5265957237115148e-22,-5.716160074941316e-30,-2.772985351539184e-22,-1.665320248488254e-22,-1.11034644539697e-22,-8.316388275493351e-23,2017-06-06
-2.1603242098844956e-22,-3.253106558211381e-22,6.001008171091456e-23,-1.7120193922942232e-22,-2.1273405753069597e-22,-4.120369378887372e-23,-2.6622482743755627e-22,1.0,-2.1423271079186483e-22,-1.5927039927785612e-22,2017-06-13
1.1127594696637558e-22,1.5278668465189774e-22,1.1127190383005808e-22,2.2258027393335875e-22,2.8225707867819316e-23,1.0,1.114450468618403e-22,-1.347457122005589e-23,1.1140282502322572e-22,1.120243153747829e-22,2017-06-20
2.6465186412083546e-22,0.2814312294623024,3.407474583083167e-22,8.897804801368159e-23,2.219720666551464e-22,9.79004338568271e-23,-8.162943423454436e-24,-3.0821494192679654e-22,0.7185687705376976,-1.9576531959746807e-22,2017-06-27
-2.7531833665754404e-22,-1.051046330286278e-22,-2.4572352692176913e-22,1.0,-1.015892057768141e-22,-1.5733859956738455e-22,-2.702490180863737e-22,-2.1300458742570594e-22,-1.171929263728014e-22,-2.444966414909932e-22,2017-07-04
