time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol
2020-01-17,0.04607,0.04132,0.04156,17479603.01,773446.88,0.04503,direct,,ADA
2020-01-18,0.04601,0.04323,0.04503,10254132.51,462040.38,0.04497,direct,,ADA
2020-01-19,0.04681,0.04148,0.04497,5383482.34,233196.57,0.04227,direct,,ADA
2020-01-20,0.04521,0.04212,0.04227,3914904.12,170968.57,0.04521,direct,,ADA
2020-01-21,0.04706,0.04379,0.04521,7904250.56,361902.42,0.0463,direct,,ADA
2020-01-22,0.04725,0.04548,0.0463,3487129.45,160209.56,0.04604,direct,,ADA
2020-01-23,0.04703,0.04228,0.04604,5842922.86,254368.09,0.04339,direct,,ADA
2020-01-24,0.04638,0.0415,0.04339,4007288.16,175018.28,0.0454,direct,,ADA
2020-01-25,0.04587,0.04337,0.0454,1390029.61,61838.29,0.04388,direct,,ADA
2020-01-26,0.04585,0.04353,0.04388,2682536.76,118208.31,0.04489,direct,,ADA
2020-01-27,0.04889,0.04427,0.04489,13341600.37,623218.22,0.04774,direct,,ADA
2020-01-28,0.05448,0.04756,0.04774,27651679.1,1423515.64,0.05309,direct,,ADA
2020-01-29,0.0575,0.05255,0.05309,16784249.64,928172.43,0.05319,direct,,ADA
2020-01-30,0.05709,0.05215,0.05319,12214364.44,671602.3,0.05607,direct,,ADA
2020-01-31,0.0565,0.05227,0.05607,8940698.59,485390.54,0.05383,direct,,ADA
2020-02-01,0.05708,0.05322,0.05383,5130318.1,282630.11,0.05612,direct,,ADA
2020-02-02,0.05871,0.05492,0.05612,8531715.8,489070.9,0.05578,direct,,ADA
2020-02-03,0.05795,0.05533,0.05578,5773863.62,327418.3,0.05704,direct,,ADA
2020-02-04,0.0577,0.05421,0.05704,7516294.49,419354.46,0.05607,direct,,ADA
2020-02-05,0.06017,0.05561,0.05607,8986317.02,529425.84,0.05925,direct,,ADA
2020-02-06,0.06074,0.05824,0.05925,9252886.5,552410.24,0.05999,direct,,ADA
2020-02-07,0.06235,0.05948,0.05999,8958329.02,544220.74,0.05981,direct,,ADA
2020-02-08,0.06127,0.05697,0.05981,13086698.64,781090.92,0.06017,direct,,ADA
2020-02-09,0.06252,0.06006,0.06017,11878846.45,728032.14,0.06214,direct,,ADA
2020-02-10,0.06214,0.05849,0.06214,7324080.15,438389.25,0.06034,direct,,ADA
2020-02-11,0.06383,0.05874,0.06034,11518563.31,710965.65,0.06383,direct,,ADA
2020-02-12,0.07039,0.06383,0.06383,19704893.09,1307172.84,0.06833,direct,,ADA
2020-02-13,0.07226,0.06546,0.06833,18738969.68,1296384.03,0.06894,direct,,ADA
2020-02-14,0.07129,0.06714,0.06894,9129714.45,635897.58,0.07083,direct,,ADA
2020-02-15,0.07138,0.06255,0.07083,18079494.19,1203187.7,0.06423,direct,,ADA
2020-02-16,0.06702,0.05644,0.06423,20805263.44,1290746.12,0.06216,direct,,ADA
2020-02-17,0.0627,0.05585,0.06216,9840911.37,576147.9,0.06024,direct,,ADA
2020-02-18,0.0637,0.0582,0.06024,12295638.53,758307.41,0.0629,direct,,ADA
2020-02-19,0.0634,0.05697,0.0629,12432981.47,755361.17,0.0575,direct,,ADA
2020-02-20,0.059,0.05553,0.0575,11321753.98,649180.23,0.05827,direct,,ADA
2020-02-21,0.06019,0.05769,0.05827,4880131.96,288494.07,0.05915,direct,,ADA
2020-02-22,0.06048,0.05765,0.05915,1462456.76,85980.1,0.05887,direct,,ADA
2020-02-23,0.06244,0.05886,0.05887,5722399.65,350409.55,0.06192,direct,,ADA
2020-02-24,0.06242,0.05736,0.06192,5649710.25,335493.99,0.05925,direct,,ADA
2020-02-25,0.05949,0.05606,0.05925,5127110.89,293107.28,0.05659,direct,,ADA
2020-02-26,0.05666,0.04671,0.05659,31389417.26,1580873.2,0.04928,direct,,ADA
2020-02-27,0.05226,0.04638,0.04928,13777626.35,685890.46,0.04955,direct,,ADA
2020-02-28,0.05272,0.04613,0.04955,9251196.36,443357.96,0.04902,direct,,ADA
2020-02-29,0.05152,0.04765,0.04902,2051065.69,99813.05,0.04765,direct,,ADA
2020-03-01,0.05448,0.04518,0.04765,15005534.62,695238.97,0.04595,direct,,ADA
2020-03-02,0.04994,0.04557,0.04595,9705020.69,467822.67,0.0493,direct,,ADA
2020-03-03,0.0507,0.0477,0.0493,3844010.22,187121.33,0.0487,direct,,ADA
2020-03-04,0.05066,0.04815,0.0487,6957875.14,344249.73,0.04887,direct,,ADA
2020-03-05,0.05798,0.04887,0.04887,8060778.76,415716.19,0.05107,direct,,ADA
2020-03-06,0.0517,0.05005,0.05107,3827413.17,195385.47,0.0517,direct,,ADA
2020-03-07,0.05189,0.04833,0.0517,3536974.91,174857.34,0.04895,direct,,ADA
2020-03-08,0.04895,0.04252,0.04895,10610395.17,476975.52,0.04274,direct,,ADA
2020-03-09,0.04401,0.03901,0.04274,23081946.18,954527.06,0.04154,direct,,ADA
