time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol
2020-01-17,0.002506,0.002301,0.002388,11943432.95,28339.54,0.002464,direct,,DOGE
2020-01-18,0.002602,0.002425,0.002464,17376001.62,42977.48,0.002532,direct,,DOGE
2020-01-19,0.002618,0.002366,0.002532,17112671.16,42467.45,0.002439,direct,,DOGE
2020-01-20,0.002525,0.00234,0.002439,14105899.39,33740.16,0.002445,direct,,DOGE
2020-01-21,0.002491,0.002366,0.002445,12646917.84,30240.51,0.002399,direct,,DOGE
2020-01-22,0.002489,0.002355,0.002399,7440909.13,17865.65,0.002433,direct,,DOGE
2020-01-23,0.002673,0.002307,0.002433,14313903.71,34430.36,0.002334,direct,,DOGE
2020-01-24,0.002366,0.002298,0.002334,15938297.72,37236.47,0.002342,direct,,DOGE
2020-01-25,0.002362,0.002296,0.002342,14336397.77,33360.59,0.002335,direct,,DOGE
2020-01-26,0.002356,0.002255,0.002335,7913705.89,18335.2,0.002301,direct,,DOGE
2020-01-27,0.002435,0.002297,0.002301,14790797.08,34989.63,0.002394,direct,,DOGE
2020-01-28,0.002457,0.002162,0.002394,18082340.12,42994.45,0.002387,direct,,DOGE
2020-01-29,0.002507,0.002382,0.002387,21278242.22,51748.26,0.002434,direct,,DOGE
2020-01-30,0.00247,0.002373,0.002434,16071647.89,38743.1,0.002412,direct,,DOGE
2020-01-31,0.002647,0.002365,0.002412,10749915.16,26066.91,0.002411,direct,,DOGE
2020-02-01,0.00249,0.002372,0.002411,9649439.9,23285.67,0.002428,direct,,DOGE
2020-02-02,0.00251,0.002363,0.002428,16045635.14,39116.42,0.002474,direct,,DOGE
2020-02-03,0.002496,0.002434,0.002474,13153093.62,32395.33,0.002475,direct,,DOGE
2020-02-04,0.002512,0.002404,0.002475,16567888.54,40529.15,0.002512,direct,,DOGE
2020-02-05,0.002641,0.002512,0.002512,27683942.02,71454.47,0.002601,direct,,DOGE
2020-02-06,0.002734,0.002549,0.002601,13344845.75,35341.04,0.002706,direct,,DOGE
2020-02-07,0.002766,0.002637,0.002706,22371805.35,60407.91,0.002763,direct,,DOGE
2020-02-08,0.00333,0.002609,0.002763,36012891.99,108745.74,0.003157,direct,,DOGE
2020-02-09,0.003556,0.003047,0.003157,58819208.82,197785.69,0.003225,direct,,DOGE
2020-02-10,0.003387,0.002856,0.003225,20323995.68,62139.71,0.002958,direct,,DOGE
2020-02-11,0.003104,0.002781,0.002958,11970563.39,35401.99,0.003029,direct,,DOGE
2020-02-12,0.003374,0.003003,0.003029,25027914.93,77019.0,0.003039,direct,,DOGE
2020-02-13,0.003228,0.002869,0.003039,57708118.21,179934.08,0.002988,direct,,DOGE
2020-02-14,0.003291,0.002964,0.002988,31410170.57,97828.99,0.003095,direct,,DOGE
2020-02-15,0.003179,0.002858,0.003095,37769075.9,112769.67,0.002895,direct,,DOGE
2020-02-16,0.002975,0.002415,0.002895,19954405.74,55341.38,0.002727,direct,,DOGE
2020-02-17,0.002784,0.002438,0.002727,24068645.15,63985.34,0.002724,direct,,DOGE
2020-02-18,0.002887,0.002639,0.002724,8878450.64,24405.77,0.002868,direct,,DOGE
2020-02-19,0.002889,0.002624,0.002868,12567037.74,35282.29,0.002624,direct,,DOGE
2020-02-20,0.002766,0.002501,0.002624,19183492.41,51248.4,0.002661,direct,,DOGE
2020-02-21,0.002887,0.002644,0.002661,13158248.32,35359.74,0.002699,direct,,DOGE
2020-02-22,0.002719,0.00254,0.002699,16743880.12,44390.99,0.002622,direct,,DOGE
2020-02-23,0.002768,0.002603,0.002622,10985648.36,29306.64,0.002677,direct,,DOGE
2020-02-24,0.002698,0.002596,0.002677,14285600.92,37797.21,0.002667,direct,,DOGE
2020-02-25,0.002684,0.002494,0.002667,14155729.84,36879.19,0.002597,direct,,DOGE
2020-02-26,0.002618,0.00227,0.002597,12684918.06,30810.07,0.002388,direct,,DOGE
2020-02-27,0.002554,0.002274,0.002388,15910851.23,38884.59,0.002502,direct,,DOGE
2020-02-28,0.002679,0.002334,0.002502,17166679.77,41614.28,0.002486,direct,,DOGE
2020-02-29,0.002509,0.00227,0.002486,9460010.31,22683.97,0.00227,direct,,DOGE
2020-03-01,0.00247,0.002244,0.00227,9537848.41,22591.27,0.002404,direct,,DOGE
2020-03-02,0.002457,0.002309,0.002404,16284562.68,39392.85,0.002443,direct,,DOGE
2020-03-03,0.002809,0.002351,0.002443,19217936.0,47930.5,0.002525,direct,,DOGE
2020-03-04,0.002602,0.002402,0.002525,11512315.34,29092.88,0.002552,direct,,DOGE
2020-03-05,0.002588,0.002471,0.002552,18297302.87,46743.84,0.002561,direct,,DOGE
2020-03-06,0.002635,0.002366,0.002561,13831766.43,35240.6,0.002551,direct,,DOGE
2020-03-07,0.002612,0.002448,0.002551,12828615.79,32283.51,0.002478,direct,,DOGE
2020-03-08,0.002599,0.002167,0.002478,20093318.25,48462.72,0.002229,direct,,DOGE
2020-03-09,0.002378,0.002159,0.002229,20107996.84,45903.98,0.002208,direct,,DOGE
2020-03-10,0.002392,0.002208,0.002208,10098843.79,23099.57,0.002314,direct,,DOGE
2020-03-11,0.002371,0.002158,0.002314,16341350.85,37750.41,0.00229,direct,,DOGE
2020-03-12,0.002329,0.001508,0.00229,47437445.61,90552.71,0.001541,direct,,DOGE
2020-03-13,0.00193,0.001251,0.001541,44201561.75,70593.14,0.00177,direct,,DOGE
2020-03-14,0.002022,0.001657,0.00177,23258201.17,42863.19,0.00181,direct,,DOGE
2020-03-15,0.00201,0.001672,0.00181,15855665.67,29316.76,0.001967,direct,,DOGE
2020-03-16,0.001997,0.001187,0.001967,44705363.41,72842.46,0.001575,direct,,DOGE
2020-03-17,0.001869,0.001569,0.001575,20811897.71,34678.05,0.001636,direct,,DOGE
2020-03-18,0.001829,0.001551,0.001636,9998882.5,16609.27,0.001806,direct,,DOGE
2020-03-19,0.002028,0.001629,0.001806,20292478.62,35874.1,0.001877,direct,,DOGE
2020-03-20,0.002063,0.001482,0.001877,21463840.04,40806.69,0.001909,direct,,DOGE
2020-03-21,0.001946,0.001739,0.001909,7499506.42,14181.96,0.001922,direct,,DOGE
2020-03-22,0.001955,0.001772,0.001922,20207376.96,37928.26,0.001913,direct,,DOGE
2020-03-23,0.002065,0.001791,0.001913,13400571.24,25623.16,0.001955,direct,,DOGE
2020-03-24,0.002081,0.001866,0.001955,10043049.1,19621.05,0.002074,direct,,DOGE
2020-03-25,0.002074,0.001799,0.002074,17887923.95,35654.49,0.001987,direct,,DOGE
2020-03-26,0.001999,0.001836,0.001987,13440203.77,26516.46,0.001963,direct,,DOGE
2020-03-27,0.001985,0.001822,0.001963,21688203.48,41740.04,0.001822,direct,,DOGE
2020-03-28,0.001964,0.001751,0.001822,17010281.29,31887.28,0.001926,direct,,DOGE
2020-03-29,0.001955,0.001729,0.001926,13388476.78,25360.62,0.001729,direct,,DOGE
2020-03-30,0.001937,0.001725,0.001729,17779531.77,33112.75,0.001894,direct,,DOGE
2020-03-31,0.00196,0.001838,0.001894,27150086.76,51605.15,0.001838,direct,,DOGE
2020-04-01,0.001953,0.001779,0.001838,13876391.87,26651.93,0.001902,direct,,DOGE
2020-04-02,0.00196,0.001866,0.001902,8177884.99,15643.48,0.001927,direct,,DOGE
2020-04-03,0.001955,0.00187,0.001927,14927366.25,28738.62,0.001923,direct,,DOGE
2020-04-04,0.001942,0.00187,0.001923,11569027.5,22179.1,0.001886,direct,,DOGE
2020-04-05,0.001947,0.001873,0.001886,14490150.58,27807.29,0.001932,direct,,DOGE
2020-04-06,0.001997,0.001902,0.001932,15533258.15,30331.27,0.00197,direct,,DOGE
2020-04-07,0.002048,0.001955,0.00197,20682265.93,41448.04,0.001995,direct,,DOGE
2020-04-08,0.002186,0.001985,0.001995,12172302.01,24600.33,0.002022,direct,,DOGE
2020-04-09,0.00208,0.001934,0.002022,9674567.95,19512.12,0.002012,direct,,DOGE
2020-04-10,0.002043,0.001136,0.002012,9147903.92,17950.62,0.002,direct,,DOGE
2020-04-11,0.00201,0.001956,0.002,14283674.69,28306.16,0.001976,direct,,DOGE
2020-04-12,0.00206,0.001963,0.001976,7278367.17,14571.29,0.002033,direct,,DOGE
2020-04-13,0.002059,0.001922,0.002033,7422837.28,14790.56,0.001962,direct,,DOGE
2020-04-14,0.002031,0.001952,0.001962,5762462.29,11461.14,0.00201,direct,,DOGE
2020-04-15,0.002029,0.001908,0.00201,16926719.98,33822.13,0.001979,direct,,DOGE
2020-04-16,0.00206,0.001918,0.001979,13177743.05,26489.61,0.002036,direct,,DOGE
2020-04-17,0.002061,0.001991,0.002036,12323409.57,25185.19,0.002058,direct,,DOGE
2020-04-18,0.00209,0.002,0.002058,17563059.0,35898.02,0.00209,direct,,DOGE
2020-04-19,0.002157,0.001969,0.00209,26166818.3,54092.77,0.002077,direct,,DOGE
2020-04-20,0.002098,0.001989,0.002077,8130795.83,16702.79,0.002049,direct,,DOGE
2020-04-21,0.002069,0.00198,0.002049,9449947.54,19091.9,0.002027,direct,,DOGE
2020-04-22,0.002039,0.001995,0.002027,16602021.85,33523.85,0.002038,direct,,DOGE
2020-04-23,0.002159,0.001997,0.002038,16318784.52,33535.39,0.002062,direct,,DOGE
2020-04-24,0.002197,0.00198,0.002062,8820179.53,18245.97,0.002067,direct,,DOGE
2020-04-25,0.002174,0.002067,0.002067,1096882.52,2322.32,0.002118,direct,,DOGE
2020-04-26,0.002486,0.002118,0.002118,32108887.31,74525.83,0.002416,direct,,DOGE
2020-04-27,0.002416,0.00225,0.002416,27183581.09,63610.03,0.002349,direct,,DOGE
2020-04-28,0.002371,0.002054,0.002349,27421840.36,63862.1,0.002295,direct,,DOGE
2020-04-29,0.002564,0.002254,0.002295,54449050.13,129826.02,0.002429,direct,,DOGE
2020-04-30,0.002667,0.002286,0.002429,27255307.34,68438.84,0.002464,direct,,DOGE
2020-05-01,0.00252,0.002408,0.002464,16319986.36,40358.07,0.002492,direct,,DOGE
2020-05-02,0.002547,0.00245,0.002492,34110521.2,84512.05,0.002521,direct,,DOGE
2020-05-03,0.0026,0.002487,0.002521,9725398.98,24547.41,0.002544,direct,,DOGE
2020-05-04,0.002546,0.00239,0.002544,12908878.95,31679.68,0.002445,direct,,DOGE
2020-05-05,0.002495,0.002436,0.002445,17365042.31,42785.87,0.00245,direct,,DOGE
2020-05-06,0.002579,0.002436,0.00245,20979161.49,52570.44,0.002511,direct,,DOGE
2020-05-07,0.002718,0.002458,0.002511,30321987.53,78329.51,0.002612,direct,,DOGE
2020-05-08,0.002725,0.002551,0.002612,20908123.04,54641.38,0.002603,direct,,DOGE
2020-05-09,0.002648,0.002551,0.002603,18755859.63,48418.23,0.00257,direct,,DOGE
2020-05-10,0.002573,0.002032,0.00257,15253407.34,37668.05,0.00252,direct,,DOGE
2020-05-11,0.002551,0.002366,0.00252,21813724.15,53825.43,0.002438,direct,,DOGE
2020-05-12,0.002555,0.002438,0.002438,16016104.63,39764.17,0.002506,direct,,DOGE
2020-05-13,0.002549,0.00246,0.002506,13595961.35,34200.31,0.002515,direct,,DOGE
2020-05-14,0.002624,0.002493,0.002515,12803569.25,32986.89,0.002593,direct,,DOGE
2020-05-15,0.002597,0.002484,0.002593,13803835.01,35325.82,0.002513,direct,,DOGE
2020-05-16,0.002568,0.002411,0.002513,16168593.73,40602.86,0.002469,direct,,DOGE
2020-05-17,0.002569,0.0024,0.002469,8092741.81,20282.96,0.002539,direct,,DOGE
2020-05-18,0.002559,0.002511,0.002539,14328557.27,36270.27,0.00255,direct,,DOGE
2020-05-19,0.002579,0.002502,0.00255,7879576.74,19946.8,0.002522,direct,,DOGE
2020-05-20,0.002568,0.002482,0.002522,10426962.61,26358.18,0.002528,direct,,DOGE
2020-05-21,0.002598,0.002457,0.002528,11378190.65,28552.81,0.00251,direct,,DOGE
2020-05-22,0.002566,0.002339,0.00251,12977812.28,32661.5,0.002524,direct,,DOGE
2020-05-23,0.002576,0.002491,0.002524,12173337.4,30900.31,0.002549,direct,,DOGE
2020-05-24,0.0026,0.002479,0.002549,13988233.59,35519.88,0.002522,direct,,DOGE
2020-05-25,0.002566,0.002446,0.002522,11174180.81,28390.43,0.002539,direct,,DOGE
2020-05-26,0.002624,0.002492,0.002539,18341558.67,46554.71,0.00255,direct,,DOGE
2020-05-27,0.002648,0.002457,0.00255,40339291.54,101265.83,0.002515,direct,,DOGE
2020-05-28,0.00256,0.002457,0.002515,18666963.65,46843.17,0.002521,direct,,DOGE
2020-05-29,0.002535,0.002471,0.002521,18593270.52,46465.21,0.002493,direct,,DOGE
2020-05-30,0.002638,0.002419,0.002493,16978517.43,43333.0,0.002629,direct,,DOGE
2020-05-31,0.002629,0.002533,0.002629,6666562.66,17131.66,0.002544,direct,,DOGE
2020-06-01,0.002653,0.002492,0.002544,11093391.49,28456.48,0.00264,direct,,DOGE
2020-06-02,0.002663,0.002498,0.00264,30776526.63,78952.31,0.002552,direct,,DOGE
2020-06-03,0.002589,0.002504,0.002552,19580026.26,49971.26,0.002573,direct,,DOGE
2020-06-04,0.00267,0.002502,0.002573,22120578.01,57856.46,0.00267,direct,,DOGE
2020-06-05,0.00267,0.002561,0.00267,18793978.06,48858.08,0.002601,direct,,DOGE
2020-06-06,0.002606,0.002551,0.002601,13594345.12,35069.23,0.002591,direct,,DOGE
2020-06-07,0.00263,0.002536,0.002591,14728761.48,38095.91,0.002599,direct,,DOGE
2020-06-08,0.002629,0.002531,0.002599,11147829.53,28730.03,0.002556,direct,,DOGE
2020-06-09,0.002579,0.002499,0.002556,10700545.91,27276.25,0.002504,direct,,DOGE
2020-06-10,0.002609,0.002469,0.002504,8019892.22,20318.57,0.002555,direct,,DOGE
2020-06-11,0.002631,0.002438,0.002555,16307314.46,41003.01,0.00247,direct,,DOGE
2020-06-12,0.002618,0.002456,0.00247,10853643.13,27214.59,0.002527,direct,,DOGE
2020-06-13,0.00258,0.002442,0.002527,17561112.79,44085.11,0.002478,direct,,DOGE
2020-06-14,0.002517,0.002442,0.002478,5654044.27,14060.93,0.002493,direct,,DOGE
2020-06-15,0.002502,0.00241,0.002493,13027670.06,31901.87,0.002456,direct,,DOGE
2020-06-16,0.002536,0.002426,0.002456,31255696.09,77143.39,0.002479,direct,,DOGE
2020-06-17,0.002545,0.002416,0.002479,36828953.21,91492.1,0.002476,direct,,DOGE
2020-06-18,0.002516,0.002417,0.002476,7747460.91,19050.02,0.002447,direct,,DOGE
2020-06-19,0.002511,0.002432,0.002447,4627484.67,11405.9,0.002458,direct,,DOGE
2020-06-20,0.002512,0.002428,0.002458,4753706.58,11593.85,0.002448,direct,,DOGE
2020-06-21,0.002515,0.002436,0.002448,3182186.06,7812.5,0.002436,direct,,DOGE
2020-06-22,0.002514,0.002436,0.002436,6217860.41,15419.27,0.002477,direct,,DOGE
2020-06-23,0.00253,0.002414,0.002477,4157785.82,10268.47,0.002474,direct,,DOGE
2020-06-24,0.002508,0.002386,0.002474,4546874.08,10988.66,0.002423,direct,,DOGE
2020-06-25,0.002461,0.00237,0.002423,3835976.93,9220.75,0.002429,direct,,DOGE
2020-06-26,0.00246,0.002342,0.002429,1849808.01,4394.32,0.002398,direct,,DOGE
2020-06-27,0.002429,0.002304,0.002398,1077919.25,2555.37,0.002379,direct,,DOGE
2020-06-28,0.002423,0.002292,0.002379,1391135.38,3226.32,0.002389,direct,,DOGE
2020-06-29,0.002499,0.002284,0.002389,3384570.85,7924.8,0.00233,direct,,DOGE
2020-06-30,0.002386,0.002286,0.00233,3418673.56,7957.59,0.002379,direct,,DOGE
2020-07-01,0.002436,0.002252,0.002379,5075498.66,11855.41,0.002353,direct,,DOGE
2020-07-02,0.002385,0.002201,0.002353,2153832.32,5023.01,0.00233,direct,,DOGE
2020-07-03,0.002381,0.002285,0.00233,7109120.73,16347.74,0.002337,direct,,DOGE
2020-07-04,0.002371,0.002291,0.002337,1390942.21,3242.7,0.002344,direct,,DOGE
2020-07-05,0.00237,0.002287,0.002344,4416633.12,10184.15,0.002323,direct,,DOGE
2020-07-06,0.002632,0.002315,0.002323,14617280.67,35926.68,0.002632,direct,,DOGE
2020-07-07,0.003302,0.002598,0.002632,138833339.84,400924.74,0.003103,direct,,DOGE
2020-07-08,0.005948,0.00305,0.003103,928362053.74,4000702.8,0.004748,direct,,DOGE
2020-07-09,0.005062,0.004046,0.004748,294009263.76,1338960.67,0.004317,direct,,DOGE
2020-07-10,0.004352,0.002348,0.004317,582963712.9,2140287.89,0.003521,direct,,DOGE
2020-07-11,0.003997,0.003458,0.003521,128999011.92,478203.21,0.003806,direct,,DOGE
2020-07-12,0.003847,0.003602,0.003806,80645347.32,300134.61,0.003648,direct,,DOGE
2020-07-13,0.003648,0.002595,0.003648,284309621.77,922656.6,0.003164,direct,,DOGE
2020-07-14,0.003376,0.003,0.003164,108419044.37,345745.35,0.003301,direct,,DOGE
2020-07-15,0.003363,0.003052,0.003301,64721402.33,202928.85,0.003093,direct,,DOGE
2020-07-16,0.003093,0.002862,0.003093,81643843.0,241109.05,0.002993,direct,,DOGE
2020-07-17,0.003085,0.002901,0.002993,44460661.45,133788.6,0.003056,direct,,DOGE
2020-07-18,0.003678,0.003021,0.003056,223126899.94,784787.0,0.003486,direct,,DOGE
2020-07-19,0.003795,0.003313,0.003486,99211449.55,347167.83,0.003384,direct,,DOGE
2020-07-20,0.003494,0.003152,0.003384,99489430.33,324502.66,0.003228,direct,,DOGE
2020-07-21,0.00331,0.003195,0.003228,46646154.75,152241.79,0.0033,direct,,DOGE
2020-07-22,0.0033,0.003201,0.0033,27678186.59,89626.34,0.003292,direct,,DOGE
2020-07-23,0.003397,0.003201,0.003292,98313041.15,324085.49,0.003303,direct,,DOGE
2020-07-24,0.003381,0.003115,0.003303,64333923.35,206907.39,0.003201,direct,,DOGE
2020-07-25,0.003308,0.003128,0.003201,70891843.98,229095.03,0.003284,direct,,DOGE
2020-07-26,0.003322,0.003133,0.003284,68853438.28,221694.68,0.003254,direct,,DOGE
2020-07-27,0.003286,0.003026,0.003254,117635171.22,368769.62,0.003172,direct,,DOGE
2020-07-28,0.003241,0.003101,0.003172,42095031.45,133726.65,0.003191,direct,,DOGE
2020-07-29,0.003298,0.003124,0.003191,43559324.07,139864.18,0.003216,direct,,DOGE
2020-07-30,0.003263,0.003101,0.003216,27674726.9,88109.83,0.003231,direct,,DOGE
2020-07-31,0.003299,0.003103,0.003231,68150957.04,217964.69,0.003206,direct,,DOGE
2020-08-01,0.003813,0.003199,0.003206,215418307.9,777314.05,0.003706,direct,,DOGE
2020-08-02,0.003774,0.003254,0.003706,104540245.93,362598.65,0.003334,direct,,DOGE
2020-08-03,0.003492,0.003302,0.003334,64253135.52,217392.61,0.0034,direct,,DOGE
2020-08-04,0.003576,0.003339,0.0034,58297152.97,201850.21,0.003533,direct,,DOGE
2020-08-05,0.003599,0.003401,0.003533,48454173.17,171260.01,0.003504,direct,,DOGE
