time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol
2020-01-17,63.3,58.07,57.51,2535277.43,154586157.25,60.97,multiply,BTC,LTC
2020-01-18,62.31,58.38,60.97,2350660.77,139206093.56,59.22,multiply,BTC,LTC
2020-01-19,59.86,56.2,59.22,1889584.56,108959797.27,57.66,multiply,BTC,LTC
2020-01-20,58.18,56.28,57.66,1144185.69,65319508.78,57.09,multiply,BTC,LTC
2020-01-21,58.65,57.1,57.09,1010047.94,57986293.88,57.41,multiply,BTC,LTC
2020-01-22,58.88,56.8,57.41,1167152.0,68060514.23,58.31,multiply,BTC,LTC
2020-01-23,56.8,53.24,58.31,1722840.17,93540234.0,54.29,multiply,BTC,LTC
2020-01-24,55.08,51.67,54.29,1999765.57,108993274.7,54.5,multiply,BTC,LTC
2020-01-25,54.41,52.35,54.5,1182987.99,62990223.64,53.25,multiply,BTC,LTC
2020-01-26,56.79,54.63,53.25,1354033.76,76025839.36,56.15,multiply,BTC,LTC
2020-01-27,60.67,57.55,56.15,1690249.92,98716922.31,58.4,multiply,BTC,LTC
2020-01-28,63.54,60.46,58.4,2051970.29,124844297.17,60.84,multiply,BTC,LTC
2020-01-29,62.51,59.69,60.84,1747837.75,104704477.66,59.91,multiply,BTC,LTC
2020-01-30,70.02,60.04,59.91,3775283.11,256114651.97,67.84,multiply,BTC,LTC
2020-01-31,69.38,66.27,67.84,3315077.98,224967685.03,67.86,multiply,BTC,LTC
2020-02-01,72.65,67.79,67.86,3273662.66,231609566.04,70.75,multiply,BTC,LTC
2020-02-02,72.63,68.44,70.75,2511491.05,175634096.92,69.93,multiply,BTC,LTC
2020-02-03,71.02,68.67,69.93,1953990.1,135947513.74,69.57,multiply,BTC,LTC
2020-02-04,69.46,66.42,69.57,1588457.76,107841979.37,67.89,multiply,BTC,LTC
2020-02-05,74.29,70.59,67.89,1882633.98,136760391.74,72.64,multiply,BTC,LTC
2020-02-06,75.72,72.24,72.64,1930267.32,141875610.37,73.5,multiply,BTC,LTC
2020-02-07,75.56,73.19,73.5,1670024.69,124325743.57,74.45,multiply,BTC,LTC
2020-02-08,78.43,73.17,74.45,2098042.83,160590843.23,76.54,multiply,BTC,LTC
2020-02-09,79.87,75.84,76.54,1835817.64,141555690.49,77.11,multiply,BTC,LTC
2020-02-10,75.41,72.79,77.11,2001298.84,148163768.67,74.03,multiply,BTC,LTC
2020-02-11,78.59,75.92,74.03,1767109.11,135741080.74,76.82,multiply,BTC,LTC
2020-02-12,82.88,77.22,76.82,2375336.43,192951548.57,81.23,multiply,BTC,LTC
2020-02-13,83.39,77.48,81.23,3518460.08,283831576.48,80.67,multiply,BTC,LTC
2020-02-14,84.19,80.49,80.67,2343128.88,194423938.38,82.98,multiply,BTC,LTC
2020-02-15,80.05,75.61,82.98,2855583.78,218818834.63,76.63,multiply,BTC,LTC
2020-02-16,79.89,69.52,76.63,3865555.12,289099911.2,74.79,multiply,BTC,LTC
2020-02-17,73.88,68.92,74.79,3296216.46,241588056.7,73.29,multiply,BTC,LTC
2020-02-18,79.1,74.36,73.29,2913619.22,224944436.99,77.2,multiply,BTC,LTC
2020-02-19,74.24,68.88,77.2,2388582.34,168466350.21,70.53,multiply,BTC,LTC
2020-02-20,72.16,67.54,70.53,2535396.94,176065056.54,69.44,multiply,BTC,LTC
2020-02-21,74.9,69.47,69.44,2704103.27,198515793.08,73.41,multiply,BTC,LTC
2020-02-22,76.84,72.56,73.41,2877372.35,215530892.85,74.91,multiply,BTC,LTC
2020-02-23,80.6,77.16,74.91,2392239.99,191137437.32,79.9,multiply,BTC,LTC
2020-02-24,77.46,72.96,79.9,2429347.55,183689719.51,75.61,multiply,BTC,LTC
2020-02-25,73.24,69.96,75.61,2409085.01,171064125.2,71.01,multiply,BTC,LTC
2020-02-26,67.7,58.39,71.01,3139419.23,190208667.86,60.59,multiply,BTC,LTC
