time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol
2020-01-17,0.01939,0.0161,0.01604,1368919775.0,25570248.23,0.01868,multiply,BTC,MATIC
2020-01-18,0.01889,0.01728,0.01868,377909295.0,6599123.46,0.01746,multiply,BTC,MATIC
2020-01-19,0.01714,0.01627,0.01746,350635169.0,5767210.48,0.01645,multiply,BTC,MATIC
2020-01-20,0.0171,0.01615,0.01645,293201549.0,4936446.39,0.01684,multiply,BTC,MATIC
2020-01-21,0.01762,0.01684,0.01684,359659652.0,6150426.92,0.0171,multiply,BTC,MATIC
2020-01-22,0.01725,0.01681,0.0171,126985577.0,2168215.51,0.01707,multiply,BTC,MATIC
2020-01-23,0.01662,0.01578,0.01707,193554209.0,3103269.11,0.01603,multiply,BTC,MATIC
2020-01-24,0.01644,0.01568,0.01603,164939180.0,2684110.6,0.01627,multiply,BTC,MATIC
2020-01-25,0.01644,0.01586,0.01627,113391429.0,1816994.42,0.01602,multiply,BTC,MATIC
2020-01-26,0.01669,0.01643,0.01602,83965238.0,1386816.09,0.01652,multiply,BTC,MATIC
2020-01-27,0.01771,0.01673,0.01652,226430144.0,3828477.7,0.01691,multiply,BTC,MATIC
2020-01-28,0.01784,0.01709,0.01691,229561546.0,3923983.98,0.01709,multiply,BTC,MATIC
2020-01-29,0.01709,0.01644,0.01709,124990779.0,2135663.84,0.01709,multiply,BTC,MATIC
2020-01-30,0.01891,0.01729,0.01709,400303087.0,7416691.9,0.01853,multiply,BTC,MATIC
2020-01-31,0.01878,0.01775,0.01853,368668961.0,6578403.33,0.01784,multiply,BTC,MATIC
2020-02-01,0.01839,0.01783,0.01784,102557547.0,1867145.57,0.01821,multiply,BTC,MATIC
2020-02-02,0.01951,0.01802,0.01821,308678542.0,5877816.67,0.01904,multiply,BTC,MATIC
2020-02-03,0.02248,0.0183,0.01904,1117159872.0,24490317.94,0.02192,multiply,BTC,MATIC
