time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol
2020-01-17,0.2441,0.2265,0.229,185841267.5,43794283.31,0.2388,direct,,XRP
2020-01-18,0.2546,0.2316,0.2388,163966775.09,39655120.49,0.2432,direct,,XRP
2020-01-19,0.2514,0.227,0.2432,130939847.3,31263836.5,0.2356,direct,,XRP
2020-01-20,0.2363,0.224,0.2356,114498769.85,26508828.8,0.2327,direct,,XRP
2020-01-21,0.2414,0.2298,0.2327,130627334.73,30830253.66,0.2367,direct,,XRP
2020-01-22,0.2393,0.2321,0.2367,99402928.8,23417447.52,0.2369,direct,,XRP
2020-01-23,0.237,0.2206,0.2369,135295585.81,30739244.83,0.2253,direct,,XRP
2020-01-24,0.226,0.2134,0.2253,150933194.28,33391948.29,0.2221,direct,,XRP
2020-01-25,0.2225,0.2162,0.2221,60153876.73,13180842.72,0.2193,direct,,XRP
2020-01-26,0.2321,0.2179,0.2193,66246983.56,14857488.72,0.2308,direct,,XRP
2020-01-27,0.2336,0.2259,0.2308,100165960.36,23085404.44,0.2304,direct,,XRP
2020-01-28,0.2411,0.2304,0.2304,141727523.01,33311631.24,0.2396,direct,,XRP
2020-01-29,0.2418,0.2339,0.2396,123887831.96,29438975.61,0.235,direct,,XRP
2020-01-30,0.2465,0.2303,0.235,166312286.85,39561517.55,0.2433,direct,,XRP
2020-01-31,0.2447,0.2335,0.2433,137523196.64,32853125.44,0.2391,direct,,XRP
2020-02-01,0.2429,0.2368,0.2391,80744852.38,19418428.87,0.2412,direct,,XRP
2020-02-02,0.2613,0.2357,0.2412,152764537.62,38374889.75,0.2509,direct,,XRP
2020-02-03,0.2596,0.2467,0.2509,143726205.68,36130850.68,0.2544,direct,,XRP
2020-02-04,0.27,0.247,0.2544,252231468.87,65468678.05,0.2661,direct,,XRP
2020-02-05,0.2815,0.2661,0.2661,296194012.23,81625720.43,0.2778,direct,,XRP
2020-02-06,0.2877,0.2698,0.2778,234180212.65,65609590.0,0.2828,direct,,XRP
2020-02-07,0.2878,0.2772,0.2828,149328171.15,41997538.99,0.2791,direct,,XRP
2020-02-08,0.282,0.2638,0.2791,123399863.32,33967098.49,0.2776,direct,,XRP
2020-02-09,0.2894,0.2766,0.2776,109714885.73,30932752.55,0.2827,direct,,XRP
2020-02-10,0.2832,0.2675,0.2827,160902069.65,44050653.92,0.2733,direct,,XRP
2020-02-11,0.2843,0.2671,0.2733,194987023.59,53687215.33,0.2822,direct,,XRP
2020-02-12,0.3096,0.2818,0.2822,318180602.48,94184429.79,0.305,direct,,XRP
2020-02-13,0.3396,0.3002,0.305,516982853.96,166862453.12,0.3276,direct,,XRP
2020-02-14,0.3393,0.3106,0.3276,264212264.61,86828879.11,0.3363,direct,,XRP
2020-02-15,0.3469,0.2951,0.3363,269847384.58,87096479.56,0.3075,direct,,XRP
2020-02-16,0.3189,0.2683,0.3075,247666376.43,73128038.35,0.293,direct,,XRP
2020-02-17,0.295,0.2695,0.293,219594342.48,61550047.88,0.2873,direct,,XRP
2020-02-18,0.3031,0.2758,0.2873,235617284.68,68807310.89,0.2985,direct,,XRP
2020-02-19,0.309,0.2707,0.2985,273138746.78,80143005.0,0.2748,direct,,XRP
2020-02-20,0.2815,0.2623,0.2748,222791604.25,60641661.44,0.2713,direct,,XRP
2020-02-21,0.2794,0.2688,0.2713,157393616.85,43232161.72,0.2744,direct,,XRP
2020-02-22,0.2785,0.2707,0.2744,86411412.13,23682809.84,0.2754,direct,,XRP
2020-02-23,0.2854,0.2753,0.2754,94411774.96,26608267.94,0.284,direct,,XRP
2020-02-24,0.2851,0.264,0.284,173196273.85,47135733.0,0.2705,direct,,XRP
2020-02-25,0.271,0.2511,0.2705,211685886.88,54980353.02,0.2522,direct,,XRP
2020-02-26,0.255,0.2229,0.2522,339673714.75,80540545.08,0.229,direct,,XRP
2020-02-27,0.2477,0.2238,0.229,266020335.21,63137376.0,0.2381,direct,,XRP
2020-02-28,0.2441,0.2281,0.2381,231857696.41,54667099.19,0.2371,direct,,XRP
2020-02-29,0.2427,0.2275,0.2371,124296658.69,29343322.46,0.2291,direct,,XRP
2020-03-01,0.2364,0.2242,0.2291,119354191.03,27438172.53,0.2273,direct,,XRP
2020-03-02,0.242,0.2259,0.2273,126609863.27,29854746.25,0.2397,direct,,XRP
2020-03-03,0.2399,0.2299,0.2397,132214279.84,31050114.71,0.2342,direct,,XRP
2020-03-04,0.2384,0.2305,0.2342,138308338.42,32357349.26,0.2347,direct,,XRP
2020-03-05,0.2435,0.2346,0.2347,193026658.32,46185980.98,0.2395,direct,,XRP
2020-03-06,0.2465,0.2386,0.2395,125928528.6,30571137.35,0.2452,direct,,XRP
2020-03-07,0.2457,0.2354,0.2452,104203176.77,25201942.27,0.2367,direct,,XRP
2020-03-08,0.2367,0.2009,0.2367,218648290.82,47581073.98,0.204,direct,,XRP
2020-03-09,0.2117,0.1984,0.204,293809046.2,60400614.82,0.2095,direct,,XRP
2020-03-10,0.2161,0.2054,0.2095,213572897.1,44981065.31,0.2116,direct,,XRP
2020-03-11,0.2138,0.1994,0.2116,228837490.91,47385528.03,0.2081,direct,,XRP
2020-03-12,0.21,0.1306,0.2081,813570500.54,134922060.07,0.1385,direct,,XRP
2020-03-13,0.1687,0.1138,0.1385,730444001.91,107285659.6,0.1602,direct,,XRP
2020-03-14,0.1607,0.1434,0.1602,162121749.53,24805660.21,0.1457,direct,,XRP
2020-03-15,0.1648,0.1445,0.1457,190580331.53,29059842.28,0.1528,direct,,XRP
2020-03-16,0.1528,0.1282,0.1528,449738231.38,62950351.79,0.1413,direct,,XRP
2020-03-17,0.1528,0.1402,0.1413,321935699.9,47502393.21,0.1477,direct,,XRP
2020-03-18,0.1498,0.1404,0.1477,256506413.79,37270988.56,0.148,direct,,XRP
2020-03-19,0.173,0.1448,0.148,386754258.65,61008011.96,0.1653,direct,,XRP
2020-03-20,0.1758,0.1455,0.1653,342771792.75,55810476.97,0.1568,direct,,XRP
2020-03-21,0.1621,0.1519,0.1568,176854249.78,27740822.25,0.1582,direct,,XRP
2020-03-22,0.1619,0.1463,0.1582,156166125.77,24098065.07,0.1478,direct,,XRP
2020-03-23,0.1619,0.145,0.1478,260027785.38,40143423.4,0.159,direct,,XRP
2020-03-24,0.1647,0.1576,0.159,313242832.67,50485791.15,0.1629,direct,,XRP
2020-03-25,0.1657,0.1574,0.1629,269685731.94,43430468.02,0.1621,direct,,XRP
2020-03-26,0.178,0.16,0.1621,329161956.71,54496828.34,0.1767,direct,,XRP
2020-03-27,0.1879,0.1697,0.1767,360235604.87,63807058.83,0.1728,direct,,XRP
2020-03-28,0.1802,0.1665,0.1728,242431536.66,41692443.94,0.1759,direct,,XRP
2020-03-29,0.177,0.1622,0.1759,161137143.68,27222051.96,0.1627,direct,,XRP
2020-03-30,0.1758,0.1624,0.1627,221847308.43,38151879.9,0.1716,direct,,XRP
