time,open_BTC,high_BTC,low_BTC,close_BTC,volumefrom_BTC,volumeto_BTC,open_ETH,high_ETH,low_ETH,close_ETH,volumefrom_ETH,volumeto_ETH,open_ADA,high_ADA,low_ADA,close_ADA,volumefrom_ADA,volumeto_ADA,open_BNB,high_BNB,low_BNB,close_BNB,volumefrom_BNB,volumeto_BNB,open_XRP,high_XRP,low_XRP,close_XRP,volumefrom_XRP,volumeto_XRP,open_SOL,high_SOL,low_SOL,close_SOL,volumefrom_SOL,volumeto_SOL,open_DOT,high_DOT,low_DOT,close_DOT,volumefrom_DOT,volumeto_DOT,open_DOGE,high_DOGE,low_DOGE,close_DOGE,volumefrom_DOGE,volumeto_DOGE,open_MATIC,high_MATIC,low_MATIC,close_MATIC,volumefrom_MATIC,volumeto_MATIC,open_LTC,high_LTC,low_LTC,close_LTC,volumefrom_LTC,volumeto_LTC
2020-01-17,8719.63,9004.35,8665.99,8894.83,48787.4,432856377.78,164.1,174.34,166.24,169.98,4516472.6,767710921.71,0.04156,0.04607,0.04132,0.04503,17479603.01,773446.88,17.04,18.46,17.37,18.04,1673358.85,30185243.79,0.229,0.2441,0.2265,0.2388,185841267.5,43794283.31,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002388,0.002506,0.002301,0.002464,11943432.95,28339.54,0.01604,0.01939,0.0161,0.01868,1368919775.0,25570248.23,57.51,63.3,58.07,60.97,2535277.43,154586157.25
2020-01-18,8894.83,8974.65,8807.26,8909.28,19872.9,176837362.25,169.98,179.52,166.69,173.91,4982054.44,866424830.99,0.04503,0.04601,0.04323,0.04497,10254132.51,462040.38,18.04,18.27,17.64,17.78,1226053.85,21802821.06,0.2388,0.2546,0.2316,0.2432,163966775.09,39655120.49,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002464,0.002602,0.002425,0.002532,17376001.62,42977.48,0.01868,0.01889,0.01728,0.01746,377909295.0,6599123.46,60.97,62.31,58.38,59.22,2350660.77,139206093.56
2020-01-19,8909.28,9177.39,8508.15,8702.59,47750.9,421483277.31,173.91,171.09,164.3,166.92,3968902.88,662472107.99,0.04497,0.04681,0.04148,0.04227,5383482.34,233196.57,17.78,17.56,16.9,17.39,1015033.24,17649169.41,0.2432,0.2514,0.227,0.2356,130939847.3,31263836.5,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002532,0.002618,0.002366,0.002439,17112671.16,42467.45,0.01746,0.01714,0.01627,0.01645,350635169.0,5767210.48,59.22,59.86,56.2,57.66,1889584.56,108959797.27
2020-01-20,8702.59,8737.36,8521.52,8634.03,21888.47,189247381.47,166.92,168.97,162.92,166.64,2168408.26,361336568.0,0.04227,0.04521,0.04212,0.04521,3914904.12,170968.57,17.39,17.36,16.98,17.29,1035420.15,17897576.97,0.2356,0.2363,0.224,0.2327,114498769.85,26508828.8,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002439,0.002525,0.00234,0.002445,14105899.39,33740.16,0.01645,0.0171,0.01615,0.01684,293201549.0,4936446.39,57.66,58.18,56.28,57.09,1144185.69,65319508.78
2020-01-21,8634.03,8771.75,8479.9,8724.84,22731.19,196404470.17,166.64,171.09,166.56,169.09,2189523.43,370220822.27,0.04521,0.04706,0.04379,0.0463,7904250.56,361902.42,17.29,18.13,17.4,18.08,1319313.66,23850378.83,0.2327,0.2414,0.2298,0.2367,130627334.73,30830253.66,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002445,0.002491,0.002366,0.002399,12646917.84,30240.51,0.01684,0.01762,0.01684,0.0171,359659652.0,6150426.92,57.09,58.65,57.1,57.41,1010047.94,57986293.88
2020-01-22,8724.84,8793.74,8582.43,8667.26,17278.13,149906743.85,169.09,170.22,165.28,167.97,1795345.1,301566807.31,0.0463,0.04725,0.04548,0.04604,3487129.45,160209.56,18.08,18.19,17.6,17.8,1002618.25,17849163.57,0.2367,0.2393,0.2321,0.2369,99402928.8,23417447.52,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002399,0.002489,0.002355,0.002433,7440909.13,17865.65,0.0171,0.01725,0.01681,0.01707,126985577.0,2168215.51,57.41,58.88,56.8,58.31,1167152.0,68060514.23
2020-01-23,8667.26,8680.93,8290.98,8394.28,38348.08,323273085.37,167.97,164.02,160.41,162.51,2377112.52,386312306.91,0.04604,0.04703,0.04228,0.04339,5842922.86,254368.09,17.8,17.24,16.86,17.03,822283.36,14005125.35,0.2369,0.237,0.2206,0.2253,135295585.81,30739244.83,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002433,0.002673,0.002307,0.002334,14313903.71,34430.36,0.01707,0.01662,0.01578,0.01603,193554209.0,3103269.11,58.31,56.8,53.24,54.29,1722840.17,93540234.0
2020-01-24,8394.28,8517.5,8225.83,8431.78,27811.03,233502998.73,162.51,163.75,158.77,162.4,2324168.65,377435884.53,0.04339,0.04638,0.0415,0.0454,4007288.16,175018.28,17.03,17.33,16.75,17.07,847229.4,14458751.47,0.2253,0.226,0.2134,0.2221,150933194.28,33391948.29,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002334,0.002366,0.002298,0.002342,15938297.72,37236.47,0.01603,0.01644,0.01568,0.01627,164939180.0,2684110.6,54.29,55.08,51.67,54.5,1999765.57,108993274.7
2020-01-25,8431.78,8444.32,8263.42,8345.88,14296.82,119345600.29,162.4,161.58,158.4,160.66,1384665.6,222457869.05,0.0454,0.04587,0.04337,0.04388,1390029.61,61838.29,16.51,18.8,16.41,16.51,131038.17,2197029.41,0.2221,0.2225,0.2162,0.2193,60153876.73,13180842.72,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002342,0.002362,0.002296,0.002335,14336397.77,33360.59,0.01627,0.01644,0.01586,0.01602,113391429.0,1816994.42,54.5,54.41,52.35,53.25,1182987.99,62990223.64
2020-01-26,8345.88,8605.33,8302.57,8602.37,22444.54,189985702.21,160.66,168.18,164.74,167.66,1743010.32,292233443.69,0.04388,0.04585,0.04353,0.04489,2682536.76,118208.31,16.97,17.63,17.39,17.48,913159.17,15962036.76,0.2193,0.2321,0.2179,0.2308,66246983.56,14857488.72,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002335,0.002356,0.002255,0.002301,7913705.89,18335.2,0.01602,0.01669,0.01643,0.01652,83965238.0,1386816.09,53.25,56.79,54.63,56.15,1354033.76,76025839.36
2020-01-27,8602.37,8991.01,8572.37,8898.94,37524.75,329416202.64,167.66,173.89,169.52,169.7,2452800.32,416247047.32,0.04489,0.04889,0.04427,0.04774,13341600.37,623218.22,17.48,18.11,17.55,17.65,729650.81,12875854.54,0.2308,0.2336,0.2259,0.2304,100165960.36,23085404.44,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002301,0.002435,0.002297,0.002394,14790797.08,34989.63,0.01652,0.01771,0.01673,0.01691,226430144.0,3828477.7,56.15,60.67,57.55,58.4,1690249.92,98716922.31
2020-01-28,8898.94,9407.39,8892.58,9391.97,51850.54,471220882.55,169.7,180.98,175.63,175.82,3238454.78,569377601.02,0.04774,0.05448,0.04756,0.05309,27651679.1,1423515.64,17.65,18.73,17.96,18.1,740178.36,13395989.4,0.2304,0.2411,0.2304,0.2396,141727523.01,33311631.24,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002394,0.002457,0.002162,0.002387,18082340.12,42994.45,0.01691,0.01784,0.01709,0.01709,229561546.0,3923983.98,58.4,63.54,60.46,60.84,2051970.29,124844297.17
2020-01-29,9391.97,9429.16,9234.27,9286.18,36978.22,345265419.21,175.82,177.09,173.28,173.47,2293380.33,397823150.89,0.05309,0.0575,0.05255,0.05319,16784249.64,928172.43,18.1,18.27,17.76,17.87,793784.43,14182237.09,0.2396,0.2418,0.2339,0.235,123887831.96,29438975.61,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002387,0.002507,0.002382,0.002434,21278242.22,51748.26,0.01709,0.01709,0.01644,0.01709,124990779.0,2135663.84,60.84,62.51,59.69,59.91,1747837.75,104704477.66
2020-01-30,9286.18,9561.26,9181.72,9501.38,45852.79,430815723.66,173.47,186.7,175.97,184.42,3066710.35,565568199.28,0.05319,0.05709,0.05215,0.05607,12214364.44,671602.3,17.87,18.62,18.16,18.55,1022815.87,18969852.71,0.235,0.2465,0.2303,0.2433,166312286.85,39561517.55,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002434,0.00247,0.002373,0.002412,16071647.89,38743.1,0.01709,0.01891,0.01729,0.01853,400303087.0,7416691.9,59.91,70.02,60.04,67.84,3775283.11,256114651.97
2020-01-31,9501.38,9518.87,9208.36,9342.23,31334.26,292627757.98,184.42,182.64,177.5,179.65,2714562.26,487674049.61,0.05607,0.0565,0.05227,0.05383,8940698.59,485390.54,18.55,18.67,18.0,18.25,838455.53,15297935.72,0.2433,0.2447,0.2335,0.2391,137523196.64,32853125.44,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002412,0.002647,0.002365,0.002411,10749915.16,26066.91,0.01853,0.01878,0.01775,0.01784,368668961.0,6578403.33,67.84,69.38,66.27,67.86,3315077.98,224967685.03
2020-02-01,9342.23,9455.92,9296.57,9384.45,14778.25,138614091.6,179.65,186.09,179.81,183.65,2166242.99,397838510.97,0.05383,0.05708,0.05322,0.05612,5130318.1,282630.11,18.25,18.47,18.13,18.24,741126.88,13520652.48,0.2391,0.2429,0.2368,0.2412,80744852.38,19418428.87,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002411,0.00249,0.002372,0.002428,9649439.9,23285.67,0.01784,0.01839,0.01783,0.01821,102557547.0,1867145.57,67.86,72.65,67.79,70.75,3273662.66,231609566.04
2020-02-02,9384.45,9469.84,9169.21,9334.25,24059.37,225322638.39,183.65,190.7,181.27,188.37,3851746.39,725534844.29,0.05612,0.05871,0.05492,0.05578,8531715.8,489070.9,18.24,18.58,18.05,18.44,883365.33,16284966.84,0.2412,0.2613,0.2357,0.2509,152764537.62,38374889.75,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002428,0.00251,0.002363,0.002474,16045635.14,39116.42,0.01821,0.01951,0.01802,0.01904,308678542.0,5877816.67,70.75,72.63,68.44,69.93,2511491.05,175634096.92
2020-02-03,9334.25,9605.66,9230.83,9288.96,33363.87,312315107.48,188.37,190.7,186.8,189.68,2889055.05,547997589.0,0.05578,0.05795,0.05533,0.05704,5773863.62,327418.3,18.44,18.5,18.14,18.44,779911.87,14380471.78,0.2509,0.2596,0.2467,0.2544,143726205.68,36130850.68,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002474,0.002496,0.002434,0.002475,13153093.62,32395.33,0.01904,0.02248,0.0183,0.02192,1117159872.0,24490317.94,69.93,71.02,68.67,69.57,1953990.1,135947513.74
2020-02-04,9288.96,9347.12,9089.52,9171.98,26614.92,244997961.95,189.68,188.76,184.63,188.39,2718810.77,512203474.25,0.05704,0.0577,0.05421,0.05607,7516294.49,419354.46,18.44,18.3,17.95,18.13,677867.69,12291777.85,0.2544,0.27,0.247,0.2661,252231468.87,65468678.05,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002475,0.002512,0.002404,0.002512,16567888.54,40529.15,0.02192,0.02238,0.02018,0.02091,944721517.0,19756124.44,69.57,69.46,66.42,67.89,1588457.76,107841979.37
2020-02-05,9171.98,9750.28,9162.98,9611.42,47150.99,448381299.88,188.39,205.78,196.65,203.86,3955322.74,806325046.18,0.05607,0.06017,0.05561,0.05925,8986317.02,529425.84,18.13,19.68,18.96,19.26,1258613.93,24242522.47,0.2661,0.2815,0.2661,0.2778,296194012.23,81625720.43,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002512,0.002641,0.002512,0.002601,27683942.02,71454.47,0.02091,0.02278,0.02086,0.02153,717430604.0,15445980.16,67.89,74.29,70.59,72.64,1882633.98,136760391.74
2020-02-06,9611.42,9853.08,9533.37,9755.84,42264.62,410313693.85,203.86,214.34,205.65,212.87,4349177.44,925819964.93,0.05925,0.06074,0.05824,0.05999,9252886.5,552410.24,19.26,20.7,19.39,20.63,1623400.43,33496597.71,0.2778,0.2877,0.2698,0.2828,234180212.65,65609590.0,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002601,0.002734,0.002549,0.002706,13344845.75,35341.04,0.02153,0.02517,0.02176,0.02449,1228006017.0,30070377.85,72.64,75.72,72.24,73.5,1930267.32,141875610.37
2020-02-07,9755.84,9866.18,9714.16,9808.36,25549.21,249852208.28,212.87,223.83,213.82,223.24,3223801.5,719675881.29,0.05999,0.06235,0.05948,0.05981,8958329.02,544220.74,20.63,22.48,20.53,22.04,1971308.87,43446434.98,0.2828,0.2878,0.2772,0.2791,149328171.15,41997538.99,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002706,0.002766,0.002637,0.002763,22371805.35,60407.91,0.02449,0.02521,0.02285,0.02305,751512109.0,17322088.08,73.5,75.56,73.19,74.45,1670024.69,124325743.57
2020-02-08,9808.36,9936.26,9665.26,9898.25,24889.03,244352034.45,223.24,228.75,218.65,223.21,3202425.6,714799127.35,0.05981,0.06127,0.05697,0.06017,13086698.64,781090.92,22.04,22.42,21.36,21.79,1358671.33,29600079.15,0.2791,0.282,0.2638,0.2776,123399863.32,33967098.49,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002763,0.00333,0.002609,0.003157,36012891.99,108745.74,0.02305,0.02326,0.0197,0.02118,1055271920.0,22353038.9,74.45,78.43,73.17,76.54,2098042.83,160590843.23
2020-02-09,9898.25,10162.71,9880.67,10157.78,33829.57,340301629.71,223.21,232.11,226.52,228.65,2208722.68,505028036.14,0.06017,0.06252,0.06006,0.06214,11878846.45,728032.14,21.79,24.36,22.33,24.35,1769754.29,43090329.03,0.2776,0.2894,0.2766,0.2827,109714885.73,30932752.55,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.003157,0.003556,0.003047,0.003225,58819208.82,197785.69,0.02118,0.02245,0.02093,0.02194,382296666.0,8387896.52,76.54,79.87,75.84,77.11,1835817.64,141555690.49
2020-02-10,10157.78,10185.09,9761.16,9858.03,40941.28,406256357.82,228.65,224.76,217.76,223.19,2665253.24,594846674.44,0.06214,0.06214,0.05849,0.06034,7324080.15,438389.25,24.35,25.59,23.21,25.13,2624871.76,65958088.55,0.2827,0.2832,0.2675,0.2733,160902069.65,44050653.92,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.003225,0.003387,0.002856,0.002958,20323995.68,62139.71,0.02194,0.02188,0.0207,0.02159,424538958.0,9165407.95,77.11,75.41,72.79,74.03,2001298.84,148163768.67
